"NUTS 3","Urban Code","City","City code","GDP","Employment","Population   (1-5)","Population            (XXL - S-M)","Sights & landmarks","Museums","Cinema seats","Concerts & shows","Theatres","Tourist overnight stays ","Museum visitors","Cinema attendance","Satisfaction with cultural facilities","Jobs in arts, culture & entertainment   ","Jobs in media & communication","Jobs in other creative sectors","ICT patent applications","Community design applications","Jobs in new arts, culture & entertainment enterprises","Jobs in new media & communication enterprises ","Jobs in new enterprises in other creative sectors","Graduates in arts and humanities","Graduates in ICT ","Average appearances in university rankings ","Foreign graduates","Foreign-born population","Tolerance of foreigners","Integration of foreigners","People trust","Passenger flights ","Potential road accessibility","Direct trains to other cities "," Quality of governance","Capital","Reason chosen","Cultural Vibrancy","Creative economy","Enabling environment","Overall","D1.1 Cultural Venues & Facilities","D1.2 Cultural Participation & Attractiveness","D2.1 Creative & Knowledge-based Jobs","D2.2 Intellectual Property & Innovation","D2.3 New Jobs in Creative Sectors","D3.1 Human Capital & Education","D3.2 Openness, Tolerance & Trust ","D3.3 Local & International Connections","D3.4 Quality of Governance"
"EL122","EL002C1","Thessaloniki","47","5","5","3","L","21.1","16.9","38.4","24.8","17.7","16.7","7.6","22.0","41.4","31.8","17.3","26.5","0.6","3.0","2.3","2.6","3.8","41.3","56.3","20.8","11.2","25.3","0.0","0.0","53.1","3.7","61.0","1.9","37.6","No","European Capital of Culture","23.82","11.61","28.17","19.81","24.97","22.67","25.20","1.84","2.91","39.49","17.92","22.20","37.63"
"EL232","EL003C1","Patras","48","5","5","4","S-M","1.9","0.5","25.7","12.5","34.1","2.5","21.6","13.9","27.1","14.5","6.3","12.0","2.7","6.0","10.8","12.4","17.9","13.2","33.9","6.2","5.9","14.1","0.0","0.0","25.0","0.0","54.5","0.0","37.6","No","European Capital of Culture","18.3","10.73","15.32","14.68","18.38","18.22","10.93","4.37","13.70","17.77","9.02","18.16","37.63"
"EL255","EL009C1","Kalamata","49","4","5","5","S-M","10.1","6.9","57.6","20.4","43.2","14.2","2.9","91.8","38.1","12.9","3.4","11.5","5.9","9.2","21.5","24.9","35.7","0.0","21.9","0.0","53.0","15.7","0.0","0.0","14.6","0.2","51.5","0.0","37.6","No","European Capital of Culture","36.2","16.17","14.06","23.76","32.42","39.98","9.28","7.55","27.36","7.31","16.67","17.25","37.63"
"EL300","EL001C1","Athens","50","3","5","2","XL","21.6","43.1","43.2","39.2","39.6","25.8","34.1","39.3","10.0","50.1","31.4","34.7","1.1","30.4","0.0","0.0","0.0","23.2","39.6","39.6","9.4","43.3","0.0","0.0","15.6","14.8","64.2","1.1","37.6","Yes","European Capital of Culture","33.05","18.65","25","25.68","38.59","27.52","38.76","15.76","0.00","34.13","13.66","26.69","37.63"
"ES111","ES011C1","Santiago","51","3","5","5","S-M","52.6","29.9","33.3","6.3","14.2","50.0","27.1","33.8","24.8","39.7","22.7","29.5","3.2","5.2","20.0","3.6","12.2","37.0","26.4","8.3","0.7","15.0","47.2","33.3","36.5","3.2","60.3","18.7","50.3","No","European Capital of Culture","27.7","17.85","26.8","23.58","23.78","31.63","30.61","4.20","11.92","23.90","26.54","27.38","50.34"
"ES212","ES510C1","San Sebastián-Donostia","52","2","4","4","S-M","19.2","8.7","33.7","15.9","14.0","22.9","24.8","26.8","41.7","49.1","12.2","32.6","8.1","13.9","7.7","6.2","11.4","23.7","17.2","0.0","18.1","16.6","47.2","33.3","35.9","6.0","70.8","3.8","69.8","No","European Capital of Culture","24.66","18.09","25.07","22.11","19.39","29.94","31.32","11.01","8.40","13.63","30.23","26.88","69.83"
"ES213","ES019C1","Bilbao","53","2","5","3","L","13.9","8.6","20.7","22.3","12.3","15.8","29.8","12.0","58.4","41.1","12.3","36.6","4.9","10.6","11.8","9.4","11.8","18.0","24.1","0.0","3.2","17.7","47.2","33.3","43.7","3.8","41.4","5.1","69.8","No","UNESCO Creative City","23.77","17.94","23.23","21.33","16.65","30.89","30.02","7.73","10.97","14.03","29.01","16.77","69.83"
"ES243","ES005C1","Zaragoza","54","3","4","2","XL","16.1","6.3","33.0","3.7","82.0","0.0","4.2","21.9","35.0","24.6","7.2","22.6","4.3","12.5","19.7","6.0","14.1","5.8","11.9","18.8","13.7","22.6","47.2","33.3","23.4","0.4","69.7","4.7","65.6","No","European Capital of Culture","24.95","14.24","23.1","20.3","32.46","17.45","18.13","8.38","13.28","12.13","28.06","24.94","65.61"
"ES300","ES001C1","Madrid","55","2","4","1","XXL","15.1","8.0","30.4","34.9","13.4","20.8","24.0","17.6","18.6","40.6","47.4","58.5","9.4","13.8","23.6","13.3","23.9","12.1","26.4","77.1","7.6","34.6","50.0","36.7","62.5","31.0","77.6","2.8","69.2","Yes","European Capital of Culture","21.35","29.95","39.75","28.47","22.55","20.16","48.80","11.60","20.27","38.53","38.28","37.13","69.22"
"ES412","ES515C1","Burgos","56","3","5","4","S-M","21.6","11.0","18.7","7.0","33.0","11.7","39.9","9.5","31.9","27.8","1.3","19.2","5.1","14.5","13.6","4.1","5.9","4.2","9.5","0.0","1.2","16.8","47.2","33.3","35.9","2.4","67.4","6.1","68.8","No","European Capital of Culture","21.82","11.55","19.82","17.31","18.74","24.90","16.11","9.81","7.86","4.57","26.89","25.32","68.79"
"ES415","ES516C1","Salamanca","57","5","5","4","S-M","40.1","20.3","31.3","20.7","34.1","25.0","32.4","15.3","27.1","27.2","0.9","16.7","2.4","6.0","14.7","4.3","9.1","43.4","55.7","14.6","3.7","13.4","47.2","33.3","25.0","0.3","63.9","3.2","68.8","No","European Capital of Culture","27.03","10.54","31.77","21.38","29.09","24.96","14.92","4.19","9.34","37.88","24.53","22.45","68.79"
"ES511","ES002C1","Barcelona","58","3","4","1","XXL","22.6","24.3","48.0","47.8","28.9","45.0","30.3","26.7","20.0","49.9","28.7","49.7","6.1","27.2","24.5","13.2","25.1","16.2","29.9","100.0","12.1","38.3","44.4","30.0","59.4","28.4","76.4","1.9","58.4","No","UNESCO Creative City","32.73","28.83","42.47","33.12","37.03","28.43","42.78","16.69","20.95","48.68","36.84","35.57","58.44"
"ES513","ES528C1","Lleida","59","3","5","4","S-M","21.1","15.0","42.3","21.8","33.0","5.0","14.7","2.4","36.6","24.8","5.0","21.3","4.8","13.2","17.8","3.9","12.1","6.1","37.3","0.0","6.8","37.1","47.2","33.3","32.8","3.7","69.5","17.6","58.4","No","At least two international cultural festivals","22.43","13.11","25.82","19.38","28.79","16.06","17.01","8.99","11.27","14.45","31.44","30.26","58.44"
"ES523","ES003C1","Valencia","60","4","5","2","XL","15.0","17.3","30.0","17.1","13.4","17.5","24.2","22.3","41.7","29.3","9.2","29.7","1.9","25.3","23.8","7.9","17.2","19.0","26.4","47.9","11.3","28.3","47.2","33.3","26.6","4.2","68.7","3.3","56.1","No","At least two international cultural festivals","23.45","18.33","30.79","22.87","19.19","27.71","22.73","13.58","16.32","31.10","29.33","25.41","56.15"
"ES613","ES020C1","Cordova","61","5","5","3","L","23.8","16.1","37.5","18.4","17.7","16.2","9.0","14.0","41.4","20.0","0.0","18.8","0.7","4.3","17.9","2.2","8.4","6.7","10.1","6.2","1.0","7.2","47.2","33.3","53.1","2.9","60.4","12.1","60.0","No","European Capital of Culture","22.05","9.48","21.19","16.85","23.41","20.70","12.92","2.49","9.53","7.67","28.38","25.11","60.02"
