"NUTS 3","Urban Code","Country","City","City code","GDP","Employment","Population (1-5)","Population (XXL - S-M)","Capital","Reason chosen","Cultural Vibrancy","Creative economy","Enabling environment","Overall","D1.1 Cultural Venues & Facilities","D1.2 Cultural Participation & Attractiveness","D2.1 Creative & Knowledge-based Jobs","D2.2 Intellectual Property & Innovation","D2.3 New Jobs in Creative Sectors","D3.1 Human Capital & Education","D3.2 Openness, Tolerance & Trust ","D3.3 Local & International Connections","D3.4 Quality of Governance"
"LU000","LU001C1","LU","Luxembourg","111","1","2","5","S-M","Yes","European Capital of Culture","40.98","54.27","36.25","45.35","42.45","39.52","51.40","54.13","57.21","2.42","59.07","47.72","89.89"
"LV003","LV002C1","LV","Liepāja","112","5","3","5","S-M","No","European Capital of Culture","12.58","9.12","24.51","13.58","15.01","10.14","9.41","6.47","10.17","4.98","43.87","18.38","44.27"
"LV006","LV001C1","LV","Riga","113","3","1","2","XL","Yes","European Capital of Culture","15.37","22.31","19.19","18.91","12.90","17.84","24.04","11.24","26.12","15.77","18.67","21.35","44.27"
"MT001","MT001C1","MT","Valletta","114","4","4","4","S-M","Yes","European Capital of Culture","22.5","16.19","26.38","20.75","32.82","12.18","12.93","22.75","16.17","7.17","50.39","1.02","64.08"
"NL113","NL007C1","NL","Groningen","115","1","2","4","S-M","No","At least two international cultural festivals","24.41","28.06","42.19","29.43","14.78","34.03","36.47","7.91","29.72","39.18","41.18","36.49","91.49"
"NL121","NL015C1","NL","Leeuwarden","116","3","5","5","S-M","No","European Capital of Culture","29.28","20.94","30.87","26.26","25.69","32.88","26.91","5.87","22.50","17.06","28.77","52.79","92.37"
"NL310","NL004C1","NL","Utrecht","117","1","1","3","L","No","At least two international cultural festivals","24.71","40.47","51.02","36.28","21.54","27.87","54.04","20.12","37.07","55.53","30.03","81.21","92.31"
"NL326","NL002C1","NL","Amsterdam","118","1","1","2","XL","Yes","European Capital of Culture","46.56","47.73","39.65","45.65","46.43","46.68","46.38","32.40","56.75","43.02","27.72","46.69","87.04"
"NL332","NL001C1","NL","The Hague","119","2","2","2","XL","No","At least two international cultural festivals","24.5","32.2","29.35","28.55","24.47","24.53","35.66","23.77","32.95","11.38","26.38","64.62","90.98"
"NL337","NL507C1","NL","Leiden","120","2","1","4","S-M","No","At least two international cultural festivals","37.77","22.12","45.2","33","16.91","58.62","22.50","15.99","24.80","43.32","28.60","79.19","90.98"
"NL339","NL003C1","NL","Rotterdam","121","1","2","2","XL","No","European Capital of Culture","23.29","28.81","30.05","26.85","17.20","29.37","30.28","23.18","30.15","18.56","22.58","60.33","90.98"
"NL413","NL503C1","NL","'s-Hertogenbosch","122","1","1","4","S-M","No","At least two international cultural festivals","53.84","32.08","38.44","42.06","53.30","54.38","40.62","27.36","25.90","15.62","35.29","91.14","88.01"
"NL414","NL005C1","NL","Eindhoven","123","1","1","4","S-M","No","European Capital of Culture","53.66","49.37","41.6","49.53","53.36","53.97","44.87","100.00","28.56","35.38","27.85","79.37","88.01"
"NL423","NL505C1","NL","Maastricht","124","3","4","4","S-M","No","European Capital of Culture","36.2","20.31","32.4","29.08","32.86","39.55","23.74","11.17","21.45","15.76","28.90","67.06","89.45"
"NO012","NO001C1","NO","Oslo","125","1","1","2","XL","Yes","At least two international cultural festivals","37.01","40.41","33.92","37.75","33.45","40.57","60.66","13.40","33.65","21.77","41.06","28.46","90.39"
"NO043","NO004C1","NO","Stavanger","126","1","1","4","S-M","No","European Capital of Culture","57.99","36.3","24.11","42.54","58.34","57.64","63.50","9.07","22.72","7.24","34.85","19.38","87.35"
"NO051","NO002C1","NO","Bergen","127","1","1","3","L","No","European Capital of Culture","27.44","42.06","23.92","32.58","24.52","30.37","53.66","19.23","41.88","19.85","23.45","19.58","73.31"
"PL114","PL002C1","PL","Łódź","128","4","3","2","XL","No","At least two international cultural festivals","13.74","12.41","20.55","14.57","7.12","20.36","8.37","11.81","16.75","20.29","15.23","26.71","46.68"
"PL127","PL001C1","PL","Warsaw","129","1","1","1","XXL","Yes","European Capital of Culture","18.48","40.39","18.68","27.28","14.37","22.58","25.28","28.07","61.67","17.37","11.89","31.34","45.53"
"PL213","PL003C1","PL","Kraków","130","4","3","2","XL","No","European Capital of Culture","30.25","25.95","25.72","27.62","22.24","38.27","13.84","16.32","42.88","29.78","17.03","29.30","52.03"
"PL22A","PL010C1","PL","Katowice","131","4","5","3","L","No","European Capital of Culture","15.74","21.55","26.44","20.2","16.62","14.85","22.50","7.14","27.81","32.31","13.22","40.50","43.03"
"PL314","PL009C1","PL","Lublin","132","5","4","3","L","No","European Capital of Culture","11.12","11.4","25.14","14.04","7.04","15.20","5.61","5.61","20.08","23.41","24.10","24.54","49.09"
"PL415","PL005C1","PL","Poznań","133","3","2","2","XL","No","At least two international cultural festivals","26.74","32.45","30.55","29.79","21.16","32.31","14.80","26.26","53.21","27.49","31.35","30.24","49.59"
"PL514","PL004C1","PL","Wrocław","134","4","2","2","XL","No","European Capital of Culture","20.7","28.58","27.74","25.26","14.97","26.43","13.27","24.91","45.73","27.52","25.29","29.80","42.90"
"PL613","PL013C1","PL","Toruń","135","5","3","4","S-M","No","At least two international cultural festivals","20.91","14.75","21.88","18.64","20.10","21.72","3.79","19.26","23.46","13.62","22.78","29.30","58.64"
"PL634","PL006C1","PL","Gdańsk","136","4","3","3","L","No","European Capital of Culture","17.14","12.1","23.22","16.34","13.81","20.46","8.28","9.88","17.03","23.14","16.20","30.36","58.64"
"PT113","PT505C1","PT","Guimarães","137","5","4","4","S-M","No","European Capital of Culture","18.15","17.89","21.78","18.77","17.55","18.76","21.35","4.40","21.18","25.13","20.93","3.39","56.82"
"PT114","PT002C1","PT","Porto","138","5","5","4","S-M","No","European Capital of Culture","32.02","22.92","30.9","28.16","33.19","30.86","13.57","3.70","41.87","36.03","25.45","23.08","56.82"
"PT162","PT005C1","PT","Coimbra","139","5","2","4","S-M","No","At least two international cultural festivals","25.09","22.41","21.15","23.23","31.54","18.63","19.78","3.53","34.47","19.70","22.92","7.11","60.73"
"PT171","PT001C1","PT","Lisbon","140","3","3","2","XL","Yes","European Capital of Culture","54.04","36.42","31.8","42.54","63.15","44.94","26.93","3.89","62.16","36.43","25.32","27.97","58.15"
"RO113","RO002C1","RO","Cluj-Napoca","141","5","5","3","L","No","European Capital of Culture","19.63","28.71","32.29","25.79","18.55","20.71","18.29","1.23","52.88","13.87","55.25","23.57","22.21"
"RO114","RO507C1","RO","Baia Mare","142","5","5","4","S-M","No","European Capital of Culture","17.18","15.68","29.68","19.08","20.73","13.62","13.57","4.08","23.60","22.43","40.55","22.48","22.21"
"RO126","RO009C1","RO","Sibiu","143","5","3","4","S-M","No","European Capital of Culture","27.56","18.54","25.23","23.49","22.65","32.47","3.80","20.82","32.13","13.63","36.32","23.23","35.20"
"RO213","RO502C1","RO","Iași","144","5","4","3","L","No","At least two international cultural festivals","10.69","18.8","26.05","17.01","6.42","14.97","10.99","0.83","35.59","15.68","39.25","20.10","21.25"
"RO321","RO001C1","RO","Bucharest","145","1","4","1","XXL","Yes","European Capital of Culture","11.65","47.15","22.08","27.94","11.07","12.23","37.20","6.29","77.54","1.76","42.57","26.12","8.51"
"RO424","RO003C1","RO","Timișoara","146","4","5","3","L","No","European Capital of Culture","16.45","25.46","33.35","23.43","16.28","16.63","19.33","10.25","39.19","33.57","37.82","24.25","23.10"
"SE110","SE001C1","SE","Stockholm","147","1","1","2","XL","Yes","European Capital of Culture","38.82","45.08","42.38","42.04","25.60","52.04","64.56","73.08","11.59","28.45","48.14","46.69","94.84"
"SE224","SE003C1","SE","Malmö","148","3","1","3","L","No","At least two international cultural festivals","21.75","35.6","29.62","28.86","20.45","23.04","31.59","73.59","20.60","7.68","38.75","42.23","94.23"
"SE224","SE504C1","SE","Lund","149","3","1","4","S-M","No","European Capital of Culture","32.8","41.63","42.81","38.33","22.47","43.12","46.68","73.59","20.60","28.02","43.09","64.39","94.23"
"SE232","SE002C1","SE","Gothenburg","150","2","1","2","XL","No","At least two international cultural festivals","20","27.17","32.12","25.29","11.63","28.36","33.92","35.98","16.02","27.46","31.37","25.85","94.23"
"SE331","SE005C1","SE","Umeå","151","3","2","4","S-M","No","European Capital of Culture","21.38","51.16","25.32","34.08","23.26","19.50","20.01","15.78","100.00","17.67","27.91","16.81","91.26"
"SI012","SI002C1","SI","Maribor","152","5","4","4","S-M","No","European Capital of Culture","28.2","18.48","31.02","24.88","26.42","29.98","23.72","4.93","20.01","25.13","43.60","3.78","59.14"
"SI021","SI001C1","SI","Ljubljana","153","3","3","3","L","No","UNESCO Creative City","34.62","33.5","26.85","32.62","36.78","32.45","42.73","18.95","31.53","6.63","51.93","3.13","59.14"
"SK010","SK001C1","SK","Bratislava","154","1","1","3","L","Yes","At least two international cultural festivals","21.22","50.73","26.36","34.05","28.46","13.98","45.69","9.45","76.42","26.41","19.56","38.18","44.78"
"SK023","SK004C1","SK","Nitra","155","5","5","5","S-M","No","European Capital of Culture","18.15","12.86","37.96","20","19.72","16.57","14.82","1.66","16.50","55.28","20.63","34.10","49.65"
"SK041","SK005C1","SK","Prešov","156","5","5","5","S-M","No","European Capital of Culture","14.8","10.66","20.2","14.22","20.97","8.63","11.95","3.00","13.21","10.58","24.62","26.34","43.37"
"SK042","SK002C1","SK","Košice","157","5","5","4","S-M","No","European Capital of Culture","10.84","10.86","23.51","13.38","12.24","9.44","10.48","3.86","14.73","24.57","18.94","26.24","43.37"
"UKD","UK008C1","UK","Manchester","158","4","2","2","XL","No","At least two international cultural festivals","30.17","32.8","46.85","34.56","25.36","34.98","32.97","7.91","45.07","43.91","52.14","29.80","79.17"
"UKD72","UK006C1","UK","Liverpool","159","4","3","3","L","No","European Capital of Culture","21.87","17.48","39.52","23.64","22.33","21.40","21.74","10.32","16.80","35.10","42.41","30.37","79.17"
"UKE21","UK533C1","UK","York","160","3","2","4","S-M","No","UNESCO Creative City","31.88","33.49","46.59","35.47","27.55","36.21","21.71","19.52","52.25","47.19","39.82","51.58","81.07"
"UKE41","UK005C1","UK","Bradford","161","5","2","2","XL","No","UNESCO Creative City","16.66","18.02","32.04","20.28","14.19","19.12","13.52","19.49","21.78","5.57","48.12","43.37","81.07"
"UKF14","UK029C1","UK","Nottingham","162","2","1","3","L","No","UNESCO Creative City","26.49","21.24","49.94","29.08","19.80","33.18","39.64","19.21","3.87","56.59","42.63","43.22","75.41"
"UKG31","UK002C1","UK","Birmingham","163","4","3","1","XXL","No","At least two international cultural festivals","18.83","17.31","38.8","22.22","13.27","24.40","18.28","8.34","20.82","25.75","45.70","43.23","74.63"
"UKH15","UK566C1","UK","Norwich","164","4","1","4","S-M","No","UNESCO Creative City","44.55","20.34","43.22","34.6","58.15","30.94","38.41","4.80","10.03","39.74","43.20","40.16","80.40"
"UKI","UK001K2","UK","London","165","1","1","1","XXL","Yes","At least two international cultural festivals","22.89","38.12","51.53","34.71","17.25","28.52","41.64","39.73","33.78","43.39","49.55","68.14","82.61"
"UKM21","UK550C1","UK","Dundee","166","4","5","4","S-M","No","UNESCO Creative City","23.27","14.25","43.43","23.69","22.87","23.66","19.63","9.93","11.03","40.97","44.51","37.01","73.71"
"UKM25","UK007C1","UK","Edinburgh","167","1","1","3","L","No","UNESCO Creative City","33.75","33.41","48.26","36.52","37.70","29.80","34.73","13.84","41.88","49.64","48.26","36.08","73.71"
"UKM34","UK004C1","UK","Glasgow","168","3","2","2","XL","No","European Capital of Culture","33.07","32.12","47.7","35.62","32.35","33.78","36.70","15.95","35.62","39.85","55.85","38.18","73.71"
